time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
8.000000000000005718e-02,3.585676682966802975e-01,-5.346077463073622971e-01,8.388325541641243888e+00,-1.206467430311620603e+01,5.993452548980712891e+00,0.000000000000000000e+00
8.200000000000005895e-02,3.754916212455353119e-01,-5.588907130187716898e-01,8.534925685558039987e+00,-1.221644983609159318e+01,5.993695735931396484e+00,0.000000000000000000e+00
8.400000000000006073e-02,3.927046010115483043e-01,-5.834661978651085601e-01,8.677367037711055886e+00,-1.235719885641571381e+01,5.993840217590332031e+00,0.000000000000000000e+00
8.600000000000006251e-02,4.101983814014990570e-01,-6.083121950122845067e-01,8.815744550452174977e+00,-1.248697568127016666e+01,5.993918895721435547e+00,0.000000000000000000e+00
8.800000000000006428e-02,4.279649484015053962e-01,-6.334068511915208477e-01,8.950175225779236854e+00,-1.260587813064666562e+01,5.993990421295166016e+00,0.000000000000000000e+00
9.000000000000006606e-02,4.459965437968850810e-01,-6.587285512885902028e-01,9.080797594007213647e+00,-1.271404601858150052e+01,5.994053363800048828e+00,0.000000000000000000e+00
9.200000000000006783e-02,4.642857042349137764e-01,-6.842559957023119921e-01,9.207767694859985141e+00,-1.281165447251747125e+01,5.994137763977050781e+00,0.000000000000000000e+00
9.400000000000006961e-02,4.828252956242341520e-01,-7.099682690998883050e-01,9.331258431979053469e+00,-1.289891200228888124e+01,5.994210243225097656e+00,0.000000000000000000e+00
9.600000000000007139e-02,5.016085425337564185e-01,-7.358448999465120322e-01,9.451455235820709788e+00,-1.297605325056409598e+01,5.994266510009765625e+00,0.000000000000000000e+00
9.800000000000007316e-02,5.206290523755060518e-01,-7.618659104285470107e-01,9.568555182872884757e+00,-1.304333662534180682e+01,5.994303703308105469e+00,0.000000000000000000e+00
1.000000000000000749e-01,5.398808367324776647e-01,-7.880118600332459700e-01,9.682765031361126873e+00,-1.310104034695600461e+01,5.994308471679687500e+00,0.000000000000000000e+00
1.020000000000000767e-01,5.593583283358189995e-01,-8.142638806423714293e-01,9.794298842381611081e+00,-1.314945793219708392e+01,5.993904113769531250e+00,0.000000000000000000e+00
1.040000000000000785e-01,5.790563806431765492e-01,-8.406036855378326011e-01,9.903362999387795185e+00,-1.318887674307167401e+01,5.993688583374023438e+00,0.000000000000000000e+00
1.060000000000000803e-01,5.989702859680644531e-01,-8.670136016807998836e-01,1.001018961329378065e+01,-1.321962230874558841e+01,5.993529319763183594e+00,0.000000000000000000e+00
1.080000000000000820e-01,6.190957983988820690e-01,-8.934766054969544014e-01,1.011500807891603593e+01,-1.324201804036505692e+01,5.993336677551269531e+00,0.000000000000000000e+00
1.100000000000000838e-01,6.394291284162555433e-01,-9.199763178987672152e-01,1.021804514179319945e+01,-1.325638452372155918e+01,5.993029117584228516e+00,0.000000000000000000e+00
1.120000000000000856e-01,6.599669364840402563e-01,-9.464969963790262897e-01,1.031952380970315275e+01,-1.326303731141509523e+01,5.992590904235839844e+00,0.000000000000000000e+00
1.140000000000000874e-01,6.807063265842377975e-01,-9.730235255329604538e-01,1.041966438082928903e+01,-1.326228754328885984e+01,5.992053031921386719e+00,0.000000000000000000e+00
1.160000000000000892e-01,7.016448411901115012e-01,-9.995414079664656226e-01,1.051868485630631689e+01,-1.325444171858595865e+01,5.991443634033203125e+00,0.000000000000000000e+00
1.180000000000000909e-01,7.227804554448735708e-01,-1.026036752690715037e+00,1.061679973729888715e+01,-1.323979942475493665e+01,5.990608692169189453e+00,0.000000000000000000e+00
1.200000000000000927e-01,7.441115629895977968e-01,-1.052496251681597439e+00,1.071421288892184442e+01,-1.321864382479137845e+01,5.989607334136962891e+00,0.000000000000000000e+00
1.220000000000000945e-01,7.656369612359086307e-01,-1.078907155077644342e+00,1.081112408906096611e+01,-1.319124968783892093e+01,5.988485813140869141e+00,0.000000000000000000e+00
1.240000000000000963e-01,7.873558419912188855e-01,-1.105257252434333370e+00,1.090772784922863181e+01,-1.315788147999260183e+01,5.986989974975585938e+00,0.000000000000000000e+00
